Local time,Open,High,Low,Close,Volume
01.07.2007 22:00:00.000 GMT+0100,2.00815,2.02060,2.00580,2.01070,5500574.848799997
08.07.2007 22:00:00.000 GMT+0100,2.01156,2.03660,2.00970,2.03400,8088397.7020999985
15.07.2007 22:00:00.000 GMT+0100,2.03332,2.05865,2.03200,2.05590,7399868.0842
22.07.2007 22:00:00.000 GMT+0100,2.05550,2.06530,2.02240,2.02400,8024568.146300002
29.07.2007 22:00:00.000 GMT+0100,2.02310,2.04610,2.01820,2.04000,6579916.412100002
05.08.2007 22:00:00.000 GMT+0100,2.03933,2.04620,2.01520,2.02278,7757756.871399998
12.08.2007 22:00:00.000 GMT+0100,2.02133,2.02585,1.96510,1.98040,8568874.796799999
19.08.2007 22:00:00.000 GMT+0100,1.98100,2.01490,1.97430,2.01410,6283358.445000001
26.08.2007 22:00:00.000 GMT+0100,2.01348,2.02330,1.99580,2.01673,6579853.842600001
02.09.2007 22:00:00.000 GMT+0100,2.01715,2.03245,2.00425,2.02850,4999087.979499999
09.09.2007 22:00:00.000 GMT+0100,2.02758,2.03660,2.00530,2.00720,4633782.849599999
16.09.2007 22:00:00.000 GMT+0100,2.00522,2.02135,1.98790,2.02000,4703482.6828000005
23.09.2007 22:00:00.000 GMT+0100,2.02080,2.04890,2.00855,2.04710,4523051.754799998
30.09.2007 22:00:00.000 GMT+0100,2.04546,2.04940,2.02775,2.04190,4398111.662199999
07.10.2007 22:00:00.000 GMT+0100,2.04157,2.04790,2.02465,2.03580,4827161.8785
14.10.2007 22:00:00.000 GMT+0100,2.03439,2.05240,2.02865,2.05135,7787702.6965
21.10.2007 22:00:00.000 GMT+0100,2.05390,2.05725,2.02580,2.05175,6624586.903399998
28.10.2007 21:00:00.000 GMT-0000,2.05500,2.08965,2.05285,2.08925,9475092.2151
04.11.2007 22:00:00.000 GMT-0000,2.08906,2.11615,2.07815,2.08956,4771729.619100002
11.11.2007 22:00:00.000 GMT-0000,2.08580,2.08690,2.03520,2.05417,4584304.3985
18.11.2007 22:00:00.000 GMT-0000,2.05382,2.07650,2.04510,2.06228,10726988.936300004
25.11.2007 22:00:00.000 GMT-0000,2.06016,2.08325,2.05325,2.05580,2384894.785100001
02.12.2007 22:00:00.000 GMT-0000,2.05460,2.06785,2.01790,2.02970,2737965.9032
09.12.2007 22:00:00.000 GMT-0000,2.03008,2.05810,2.01465,2.01730,2763414.2759
16.12.2007 22:00:00.000 GMT-0000,2.01437,2.02280,1.98090,1.98316,2310168.0239
23.12.2007 22:00:00.000 GMT-0000,1.98338,2.00220,1.96933,1.99569,1174710.6030000004
30.12.2007 22:00:00.000 GMT-0000,1.99456,2.01020,1.96730,1.97331,1393128.3654999998
06.01.2008 22:00:00.000 GMT-0000,1.97358,1.98285,1.94830,1.95620,2498758.4927
13.01.2008 22:00:00.000 GMT-0000,1.95763,1.97915,1.95120,1.95493,3381730.8112
20.01.2008 22:00:00.000 GMT-0000,1.95742,1.98475,1.93360,1.98251,2864158.460000001
27.01.2008 22:00:00.000 GMT-0000,1.98370,1.99580,1.96442,1.96469,2660671.1254000003
03.02.2008 22:00:00.000 GMT-0000,1.96517,1.97865,1.93880,1.94533,1920818.9426000004
10.02.2008 22:00:00.000 GMT-0000,1.94566,1.97380,1.94015,1.96069,802622.8342999998
17.02.2008 22:00:00.000 GMT-0000,1.95697,1.97085,1.93620,1.96642,2482781.152300002
24.02.2008 22:00:00.000 GMT-0000,1.96900,1.99710,1.96160,1.98805,3368274.0550000006
02.03.2008 22:00:00.000 GMT-0000,1.98870,2.02160,1.97205,2.01294,2868848.554600002
09.03.2008 21:00:00.000 GMT-0000,2.01446,2.03980,1.99950,2.02005,3707200.6048000003
16.03.2008 21:00:00.000 GMT-0000,2.01760,2.02730,1.97350,1.98110,3147069.5301999967
23.03.2008 21:00:00.000 GMT-0000,1.98138,2.01925,1.97560,1.99380,3274888.8491
30.03.2008 22:00:00.000 GMT+0100,1.99570,2.00470,1.97280,1.99304,3178150.606599999
06.04.2008 22:00:00.000 GMT+0100,1.99520,1.99520,1.96490,1.96846,5061017.329299999
13.04.2008 22:00:00.000 GMT+0100,1.96520,1.99980,1.95995,1.99750,4032044.208400001
20.04.2008 22:00:00.000 GMT+0100,1.99630,2.00265,1.96760,1.98560,2585197.287599999
27.04.2008 22:00:00.000 GMT+0100,1.98410,1.99650,1.96230,1.97140,925089.9139000002
04.05.2008 22:00:00.000 GMT+0100,1.97250,1.97840,1.94590,1.95350,612277.0349999999
11.05.2008 22:00:00.000 GMT+0100,1.95049,1.96330,1.93620,1.95728,709437.5706999999
18.05.2008 22:00:00.000 GMT+0100,1.95640,1.98520,1.94525,1.97960,807568.5567
25.05.2008 22:00:00.000 GMT+0100,1.97931,1.98460,1.96725,1.98058,662888.2439000001
01.06.2008 22:00:00.000 GMT+0100,1.97287,1.97730,1.94610,1.97075,514457.9257999999
08.06.2008 22:00:00.000 GMT+0100,1.96883,1.98005,1.94100,1.94750,914698.1158
15.06.2008 22:00:00.000 GMT+0100,1.94942,1.97910,1.94590,1.97585,1430721.0806999994
22.06.2008 22:00:00.000 GMT+0100,1.97445,1.99520,1.95850,1.99475,1356188.2184000001
29.06.2008 22:00:00.000 GMT+0100,1.99438,2.00065,1.97940,1.98190,1238408.5613000009
06.07.2008 22:00:00.000 GMT+0100,1.98226,1.99580,1.96485,1.98870,957950.3262000001
13.07.2008 22:00:00.000 GMT+0100,1.99048,2.01550,1.98110,1.99825,950843.3722999999
20.07.2008 22:00:00.000 GMT+0100,1.99780,2.00755,1.98160,1.99140,964995.5539999999
27.07.2008 22:00:00.000 GMT+0100,1.99148,1.99680,1.97250,1.97510,975438.9190999995
03.08.2008 22:00:00.000 GMT+0100,1.97399,1.97592,1.91455,1.92095,1246850.2919000003
10.08.2008 22:00:00.000 GMT+0100,1.91188,1.92550,1.85120,1.86580,1086876.6858000003
17.08.2008 22:00:00.000 GMT+0100,1.86388,1.87935,1.85040,1.85260,935932.5162
24.08.2008 22:00:00.000 GMT+0100,1.85029,1.85895,1.81730,1.82080,1088178.7271999998
